,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
216,Barcelos,41.5388,-8.6151,51.8,100,75,9.22,PT,light rain
217,Iqaluit,63.7506,-68.5145,-11.2,70,1,17.27,CA,clear sky
218,Birao,10.2849,22.7882,69.62,21,5,11.23,CF,clear sky
219,Kashi,39.4547,75.9797,30.2,51,20,2.24,CN,few clouds
220,Kahului,20.8947,-156.47,73.4,68,1,14.97,US,clear sky
221,Boa Vista,2.8197,-60.6733,78.8,73,75,17.27,BR,broken clouds
222,Zhigalovo,54.8097,105.1578,-24.07,78,73,3.89,RU,broken clouds
223,Norwich,52.6278,1.2983,34.0,80,49,8.05,GB,scattered clouds
224,Mecca,21.4267,39.8261,70.5,33,0,2.84,SA,clear sky
225,Marrakesh,31.6315,-8.0083,48.2,93,20,8.05,MA,few clouds
226,Touros,-5.1989,-35.4608,75.2,94,75,3.44,BR,broken clouds
227,Tuatapere,-46.1333,167.6833,61.77,61,100,3.06,NZ,moderate rain
228,Mildura,-34.2,142.15,84.99,17,0,5.75,AU,clear sky
229,Krasnoselkup,65.7,82.4667,-22.05,83,100,17.09,RU,overcast clouds
230,Cabo San Lucas,22.8909,-109.9124,63.0,81,51,1.99,MX,broken clouds
231,Saint-Joseph,-21.3667,55.6167,87.8,62,0,18.41,RE,clear sky
232,Umm Kaddadah,13.6017,26.6876,61.93,28,28,16.26,SD,scattered clouds
233,Strezhevoy,60.7333,77.5889,-14.8,70,75,17.9,RU,snow
234,Ponta Do Sol,32.6667,-17.1,57.0,75,10,3.0,PT,clear sky
235,Lidkoping,58.5052,13.1577,19.4,100,90,4.61,SE,overcast clouds
236,Sao Bernardo Do Campo,-23.6939,-46.565,75.99,78,81,2.8,BR,broken clouds
237,Paita,-5.0892,-81.1144,75.88,69,19,9.28,PE,few clouds
238,Darhan,49.4867,105.9228,-4.63,80,93,12.86,MN,overcast clouds
239,Merauke,-8.4667,140.3333,84.25,77,99,14.2,ID,overcast clouds
240,Brae,60.3964,-1.353,37.4,87,75,20.71,GB,broken clouds
241,Jawa,31.8525,35.9393,50.0,62,0,3.44,JO,clear sky
242,Evensk,61.95,159.2333,-0.65,89,100,31.12,RU,light snow
