City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Kavieng,PG,83.57,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
152,Vila Do Maio,CV,73.4,clear sky,15.1333,-23.2167,Residence 'I Delfini'
153,Sechura,PE,76.66,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
156,Koppies,ZA,70.48,broken clouds,-27.2418,27.5742,Friesland Hotel
157,Saint-Philippe,RE,87.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
159,Richards Bay,ZA,77.02,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
160,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
161,Hirara,JP,71.6,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
163,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
170,Inirida,CO,76.82,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
171,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
173,Inhambane,MZ,80.6,scattered clouds,-23.865,35.3833,Oceano
175,Mailsi,PK,73.92,clear sky,29.8003,72.1758,Mian Lodge
176,Byron Bay,AU,80.6,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
178,Jaru,BR,73.2,light rain,-10.4389,-62.4664,Hotel Paraná
184,Pasighat,IN,73.65,clear sky,28.0667,95.3333,Siang Guest House
185,Luganville,VU,82.8,broken clouds,-15.5333,167.1667,The Espiritu Hotel
187,Kalmunai,LK,80.94,overcast clouds,7.4167,81.8167,VS Villa
188,Bengkulu,ID,78.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
189,Vanimo,PG,85.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
192,Alofi,NU,80.6,light rain,-19.0595,-169.9187,Taloa Heights
194,Gold Coast,AU,82.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
198,Joao Pinheiro,BR,72.64,overcast clouds,-17.7425,-46.1725,Hotel Santos
199,Rach Gia,VN,84.2,scattered clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
202,Cap Malheureux,MU,86.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
205,Acapulco,MX,75.24,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
207,Hithadhoo,MV,82.09,scattered clouds,-0.6,73.0833,Scoop Guest House
209,Iracoubo,GF,77.04,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
210,Hojai,IN,72.19,clear sky,26.0,92.8667,Luxury park hotel
211,Sambava,MG,83.35,clear sky,-14.2667,50.1667,Melrose
215,Tual,ID,82.74,broken clouds,-5.6667,132.75,Grand Vilia Hotel
220,Kahului,US,73.4,clear sky,20.8947,-156.47,Maui Seaside Hotel
221,Boa Vista,BR,78.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
224,Mecca,SA,70.5,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
226,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
228,Mildura,AU,84.99,clear sky,-34.2,142.15,Mercure Hotel Mildura
